Point,Comment,Inspected,Inspection comment,SiO2(Mass%),TiO2(Mass%),Al2O3(Mass%),Cr2O3(Mass%),FeO(Mass%),MnO(Mass%),NiO(Mass%),MgO(Mass%),CaO(Mass%),Na2O(Mass%),K2O(Mass%),P2O5(Mass%),Total(Mass%),SiO2(Norm%),TiO2(Norm%),Al2O3(Norm%),Cr2O3(Norm%),FeO(Norm%),MnO(Norm%),NiO(Norm%),MgO(Norm%),CaO(Norm%),Na2O(Norm%),K2O(Norm%),P2O5(Norm%),Total(Norm%),SiO2(Cation),TiO2(Cation),Al2O3(Cation),Cr2O3(Cation),FeO(Cation),MnO(Cation),NiO(Cation),MgO(Cation),CaO(Cation),Na2O(Cation),K2O(Cation),P2O5(Cation),Total(Cation),SiO2(mole%),TiO2(mole%),Al2O3(mole%),Cr2O3(mole%),FeO(mole%),MnO(mole%),NiO(mole%),MgO(mole%),CaO(mole%),Na2O(mole%),K2O(mole%),P2O5(mole%),Total(mole%),X,Y,Z,SiO2(K-ratio),TiO2(K-ratio),Al2O3(K-ratio),Cr2O3(K-ratio),FeO(K-ratio),MnO(K-ratio),NiO(K-ratio),MgO(K-ratio),CaO(K-ratio),Na2O(K-ratio),K2O(K-ratio),P2O5(K-ratio),Total(K-ratio),SiO2(K-raw),TiO2(K-raw),Al2O3(K-raw),Cr2O3(K-raw),FeO(K-raw),MnO(K-raw),NiO(K-raw),MgO(K-raw),CaO(K-raw),Na2O(K-raw),K2O(K-raw),P2O5(K-raw),Total(K-raw),Na(Net),Mg(Net),Al(Net),Si(Net),Cr(Net),Ti(Net),Ca(Net),K(Net),P(Net),Ni(Net),Fe(Net),Mn(Net),Na(BG-),Mg(BG-),Al(BG-),Si(BG-),Cr(BG-),Ti(BG-),Ca(BG-),K(BG-),P(BG-),Ni(BG-),Fe(BG-),Mn(BG-),Na(BG+),Mg(BG+),Al(BG+),Si(BG+),Cr(BG+),Ti(BG+),Ca(BG+),K(BG+),P(BG+),Ni(BG+),Fe(BG+),Mn(BG+),Na(L-value),Mg(L-value),Al(L-value),Si(L-value),Cr(L-value),Ti(L-value),Ca(L-value),K(L-value),P(L-value),Ni(L-value),Fe(L-value),Mn(L-value),Current,Na(Error%),Mg(Error%),Al(Error%),Si(Error%),Cr(Error%),Ti(Error%),Ca(Error%),K(Error%),P(Error%),Ni(Error%),Fe(Error%),Mn(Error%),Total(Error%),Na(D.L.),Mg(D.L.),Al(D.L.),Si(D.L.),Cr(D.L.),Ti(D.L.),Ca(D.L.),K(D.L.),P(D.L.),Ni(D.L.),Fe(D.L.),Mn(D.L.), ,,Bi(Net),Ar(Net),Br(Net),As(Net)
866,Gold6_A8_line1 Line 010,Gold6_McC_A8_line1,,49.95,1.3038,5.03,0,6.04,0.1019,0.0196,14.02,22.86,0.5736,0.0099,0,99.9088,49.9956,1.305,5.0346,0,6.0455,0.102,0.0196,14.0328,22.8809,0.5741,0.0099,0,100,7.406,0.1454,0.879,0,0.75,0.0128,0.0023,3.098,3.632,0.1649,0.0019,0,16.0923,47.5691,0.9338,2.8231,0,4.8106,0.0822,0.015,19.9034,23.3271,0.5296,0.006,0,100,5.2776,26.2581,10.8065,46.6345,1.2587,4.2956,0,6.0064,0.093,0.0174,14.1248,22.76,0.4952,0.0096,0,95.6952,89.768,3.121,4.296,0,39.464,0.1977,0.0174,52.724,47.715,3.3531,0.0402,0,240.6964,2655.4,110428.9,46460,469936.3,-13.4,21030.3,475706.1,212.8,-3.3,112.3,34670.8,542.8,368.6,629.9,1256.5,0,5736.3,2963.6,2084.1,1360.4,122.3,2079.1,1425.7,1006.9,254.6,581.3,782.4,1264.9,5171.7,2752.6,1961.8,1244.8,107.2,1755.7,1251.5,908,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.69,5.91,0.59,0.75,0.28,300,1.74,0.33,55.78,300,108.24,0.68,17.75,792.05,126,86,65,69,104,101,68,51,107,185,110,146,1218, ,544.5,970,626.6,1161
867,Gold6_A8_line1 Line 011,Gold6_McC_A8_line1,,50.06,1.3229,5.14,0.0079,6.11,0.1124,0.0047,14.05,23,0.5785,0.0009,0.0047,100.392,49.8645,1.3177,5.1199,0.0079,6.0861,0.112,0.0047,13.9951,22.9102,0.5762,0.0009,0.0047,100,7.39,0.1469,0.894,0.0009,0.754,0.014,0.0006,3.091,3.638,0.1656,0.0002,0.0006,16.0958,47.4734,0.9435,2.8727,0.003,4.8459,0.0903,0.0036,19.8621,23.3712,0.5319,0.0005,0.0019,100,5.2776,26.2845,10.8065,46.7415,1.2773,4.3896,0.0072,6.0722,0.1025,0.0042,14.1566,22.9094,0.4993,0.0009,0.0038,96.1644,89.974,3.167,4.39,0.0159,39.896,0.218,0.0042,52.843,48.028,3.3803,0.0038,0.0106,241.9308,2676.4,110678.7,47482.8,471013.9,162.6,21340.7,478821.9,20.1,11.7,26.8,35051.1,598.3,325.1,606.7,1318.9,0,5832.1,3019.9,2101.6,1352.4,100.6,2089.8,1466.4,1024,239.6,571.5,769.2,1245.2,4979,2832.2,1898.8,1275.3,95.5,1944,1203.3,879.8,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.67,5.83,0.59,0.74,0.28,144.4,1.73,0.33,573.78,269.52,454.27,0.68,16.25,1468.4,120,85,65,68,103,103,68,51,99,190,109,145,1206, ,546.3,965.3,640.2,1153
868,Gold6_A8_line1 Line 012,Gold6_McC_A8_line1,,50.1,1.3146,5.14,0,6.15,0.1121,0.0232,14.09,23.08,0.5875,0.002,0,100.5994,49.8015,1.3068,5.1094,0,6.1134,0.1114,0.0231,14.006,22.9425,0.584,0.002,0,100,7.385,0.1457,0.893,0,0.758,0.014,0.0028,3.096,3.644,0.1679,0.0004,0,16.1068,47.4072,0.9355,2.8664,0,4.867,0.0899,0.0177,19.875,23.4011,0.539,0.0012,0,100,5.2776,26.311,10.8065,46.7768,1.2693,4.3866,0,6.1096,0.1023,0.0206,14.1958,22.9833,0.5069,0.0019,0,96.3531,90.042,3.1473,4.387,0,40.142,0.2175,0.0206,52.989,48.183,3.432,0.0082,0,242.5686,2716.7,110982.9,47446.2,471369.3,-77.3,21208,480374.7,43.7,-1.7,134.4,35268.8,596.4,356.2,620,1281.9,0,6108.9,3042.7,2110.2,1372.7,122.7,2064.9,1421.4,1034.9,215.1,567.9,756,1308.8,5090.7,2815.9,1910.3,1245,92.4,1896.8,1248.3,841.7,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.52,5.78,0.59,0.74,0.28,300,1.74,0.33,265.1,300,93.12,0.68,16.21,984.57,120,85,64,70,105,103,68,51,104,188,110,144,1212, ,557.8,976.1,643.5,1177.8
869,Gold6_A8_line1 Line 013,Gold6_McC_A8_line1,,49.91,1.3201,5.11,0.0016,6.14,0.1051,0.0026,14.05,23.01,0.5556,0.0043,0.0087,100.218,49.8014,1.3172,5.0989,0.0016,6.1266,0.1049,0.0026,14.0194,22.9599,0.5544,0.0043,0.0087,100,7.384,0.1469,0.891,0.0002,0.76,0.0132,0.0003,3.098,3.648,0.1594,0.0008,0.0011,16.1029,47.4043,0.943,2.8604,0.0006,4.8772,0.0846,0.002,19.8928,23.4175,0.5116,0.0026,0.0035,100,5.2776,26.3374,10.8065,46.594,1.2746,4.3646,0.0015,6.1014,0.096,0.0023,14.1572,22.9189,0.4793,0.0041,0.0071,96.0008,89.69,3.1604,4.365,0.0033,40.088,0.204,0.0023,52.845,48.048,3.2452,0.0173,0.0197,241.6882,2569.2,110681.3,47204.2,469528.4,33.6,21295.5,479025,92.3,21.8,15.1,35220.7,558.8,370.9,627.6,1297.2,0,5799.6,3114.6,2141.3,1330.8,100.7,2094.3,1397.9,1001.8,234.9,575.6,790.4,1297.2,5150.2,2725.3,1822.4,1240.1,104,1892.9,1230.1,869.3,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.59,6,0.59,0.75,0.28,688.79,1.74,0.33,126.19,152.54,813.73,0.68,17.13,1808.75,124,86,65,69,104,103,68,51,102,189,109,144,1214, ,553.8,988.4,646.1,1166.3
870,Gold6_A8_line1 Line 014,Gold6_McC_A8_line1,,49.95,1.3284,5.13,0.0069,6.15,0.1115,0.0098,14,23.08,0.5649,0.0027,0.0048,100.339,49.7812,1.3239,5.1127,0.0069,6.1292,0.1111,0.0098,13.9527,23.002,0.563,0.0027,0.0048,100,7.383,0.1477,0.894,0.0008,0.76,0.014,0.0012,3.084,3.655,0.1619,0.0005,0.0006,16.1027,47.4033,0.9481,2.8692,0.0026,4.8812,0.0896,0.0075,19.8057,23.4695,0.5198,0.0016,0.0019,100,5.2776,26.3639,10.8065,46.6376,1.2826,4.3826,0.0064,6.1084,0.1018,0.0087,14.099,22.9876,0.4872,0.0026,0.0039,96.1083,89.774,3.1803,4.383,0.014,40.134,0.2164,0.0087,52.628,48.192,3.2983,0.011,0.0108,241.8505,2611.3,110228.4,47397.1,469963.1,142.7,21429.1,480460.1,58.8,11.8,57.1,35261.1,592.8,330.8,612.9,1311.5,0,5875.7,3103.3,2062.1,1429.1,87.3,2100.8,1403.9,994.1,253.6,555.8,787.6,1304.8,5057.9,2811.1,1976.5,1162.1,125.9,1900.9,1242.7,861.5,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.55,5.94,0.59,0.74,0.28,164.74,1.73,0.33,198.45,278.19,220.05,0.68,16.21,887.93,123,84,65,70,104,103,68,51,105,189,109,144,1215, ,571,974,641.5,1160.4
871,Gold6_A8_line1 Line 015,Gold6_McC_A8_line1,,49.86,1.3298,5.09,0.0071,6.13,0.1027,0.0222,14.01,22.98,0.5708,0.0007,0,100.1033,49.8085,1.3284,5.0847,0.0071,6.1237,0.1026,0.0222,13.9955,22.9563,0.5702,0.0007,0,100,7.386,0.1481,0.889,0.0008,0.76,0.0129,0.0026,3.093,3.647,0.164,0.0001,0,16.1035,47.4153,0.9511,2.8527,0.0027,4.8753,0.0827,0.017,19.8607,23.4159,0.5263,0.0004,0,100,5.2776,26.3903,10.8065,46.5399,1.2839,4.3466,0.0065,6.0962,0.0938,0.0197,14.1076,22.8831,0.4923,0.0006,0,95.8704,89.586,3.1836,4.347,0.0144,40.054,0.1993,0.0197,52.66,47.973,3.3334,0.0027,0,241.3731,2639.3,110295.3,47008.4,468978.2,147.6,21451.3,478275.2,15.1,-6.7,127.5,35191.3,547,349,630.9,1312.1,0,5924.5,3151,2161.1,1394.3,119.1,2021.8,1375.8,969.8,228.2,617.5,766.8,1290.3,5048.7,2932.9,1929.5,1236.6,119.1,1837.3,1268.5,884.2,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.6,5.89,0.59,0.75,0.28,160.74,1.74,0.33,793.31,300,95.87,0.68,17.42,1377.6,121,88,65,69,104,105,69,52,110,186,109,144,1222, ,550.3,991.6,639.3,1171.1
872,Gold6_A8_line1 Line 016,Gold6_McC_A8_line1,,49.72,1.3331,5.12,0.0016,6.14,0.1057,0.0118,13.99,22.97,0.5585,0,0,99.9507,49.7445,1.3338,5.1225,0.0016,6.143,0.1058,0.0118,13.9969,22.9813,0.5588,0,0,100,7.378,0.1488,0.896,0.0002,0.761,0.0133,0.0014,3.094,3.653,0.1607,0,0,16.1064,47.3598,0.955,2.8742,0.0006,4.8913,0.0853,0.009,19.8649,23.4441,0.5158,0,0,100,5.2776,26.4168,10.8065,46.4043,1.2872,4.3736,0.0014,6.0986,0.0964,0.0105,14.0883,22.8826,0.4817,0,0,95.7247,89.325,3.1916,4.374,0.0032,40.07,0.205,0.0105,52.588,47.972,3.2612,0,0,241.0005,2582.7,110144.4,47303.1,467615.4,31.9,21506.3,478268.7,-1.7,-3.4,68.8,35204,562.5,335.9,631.4,1296.4,0,5912.7,2958.9,2075.6,1365.2,122.6,2025.2,1435.8,990.8,246.9,589.4,806,1266.2,4995.8,2718.7,1813.6,1257.8,105.8,1860.6,1232.6,893.4,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.55,5.98,0.59,0.74,0.28,722.95,1.72,0.33,300,300,178.57,0.68,17.11,1528.95,122,86,66,69,104,101,67,51,107,187,110,145,1215, ,547.4,984,648.2,1168.8
873,Gold6_A8_line1 Line 017,Gold6_McC_A8_line1,,49.63,1.3434,5.11,0.0037,6.11,0.0909,0.0032,13.94,22.88,0.5746,0.0018,0.0077,99.6953,49.7817,1.3475,5.1256,0.0037,6.1287,0.0912,0.0032,13.9826,22.9499,0.5764,0.0018,0.0077,100,7.381,0.1503,0.895,0.0004,0.76,0.0114,0.0004,3.09,3.647,0.1657,0.0003,0.001,16.1025,47.4018,0.965,2.8764,0.0014,4.8805,0.0735,0.0025,19.8474,23.4153,0.5321,0.0011,0.0031,100,5.2776,26.4432,10.8065,46.3124,1.2971,4.3606,0.0034,6.0717,0.0829,0.0028,14.039,22.7896,0.4957,0.0017,0.0062,95.4632,89.148,3.2162,4.361,0.0075,39.893,0.1763,0.0028,52.404,47.777,3.356,0.0073,0.0173,240.3664,2656.5,109758.4,47165.6,466687.4,77.2,21671.4,476328.3,38.6,20.1,18.5,35049.5,483.3,339,605.8,1344.2,0,5851.6,3024,2218.5,1396.2,109.1,2096,1376.1,1022,243.3,555.5,745.1,1278.7,4977.4,2661.5,1951.7,1233.4,107.4,1936.6,1220,943.1,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.59,5.87,0.59,0.75,0.28,305.59,1.71,0.33,300.28,175.71,685.34,0.68,19.89,1497.02,122,84,65,69,104,101,70,52,105,190,108,148,1218, ,555.5,971.6,644.4,1174.7
874,Gold6_A8_line1 Line 018,Gold6_McC_A8_line1,,49.49,1.3406,5.08,0.0052,6.1,0.106,0.0116,13.94,22.8,0.5659,0.0005,0.0048,99.4446,49.7664,1.3481,5.1084,0.0052,6.1341,0.1066,0.0117,14.0179,22.9273,0.5691,0.0005,0.0048,100,7.379,0.1503,0.894,0.0006,0.76,0.0134,0.0014,3.098,3.643,0.1636,0.0001,0.0006,16.104,47.3786,0.9652,2.8662,0.002,4.8839,0.086,0.0089,19.8938,23.388,0.5252,0.0003,0.0019,100,5.2776,26.4697,10.8065,46.1711,1.2945,4.3396,0.0048,6.0573,0.0968,0.0103,14.039,22.7081,0.4882,0.0005,0.0038,95.2139,88.876,3.2097,4.34,0.0106,39.798,0.2057,0.0103,52.404,47.606,3.3052,0.0022,0.0107,239.7784,2616.7,109758.1,46934.8,465265.4,109.2,21627.5,474613.7,11.8,11.8,67.2,34964.7,564.3,341,603,1258,0,6014.4,3066.9,2072.6,1291.6,100.8,2065.8,1447.8,1024.5,263.7,576.1,754.1,1258,5028.5,2865.3,1960,1300,105.8,1889.5,1237.8,871.7,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.54,5.95,0.59,0.75,0.29,218.13,1.72,0.33,973.93,274.61,183.45,0.68,17.09,1677.52,125,85,64,68,105,103,68,51,102,188,110,145,1214, ,554.3,980.8,643.3,1163.9
875,Gold6_A8_line1 Line 019,Gold6_McC_A8_line1,,49.16,1.3076,5.09,0.0085,6.08,0.1029,0,13.77,22.71,0.5551,0.0014,0,98.7855,49.7644,1.3237,5.1526,0.0086,6.1547,0.1042,0,13.9393,22.9892,0.5619,0.0014,0,100,7.381,0.1476,0.9,0.001,0.763,0.0131,0,3.081,3.654,0.1616,0.0003,0,16.1026,47.3976,0.9481,2.8922,0.0032,4.9026,0.084,0,19.791,23.4615,0.5189,0.0009,0,100,5.2776,26.4961,10.8065,45.85,1.2625,4.3426,0.0078,6.0419,0.0939,0,13.8595,22.6169,0.4787,0.0014,0,94.5552,88.258,3.1304,4.343,0.0172,39.697,0.1996,0,51.734,47.415,3.2409,0.0057,0,238.0408,2566.8,108354.3,46964.2,462030.6,176.5,21092.6,472719.8,30.3,-13.4,-3.4,34876.4,548,292.5,618.6,1274.2,0,5743.8,3002.2,2091.1,1280.9,132.8,2124.7,1395.2,1006.9,263.9,541.3,785,1270.8,4982.4,2783.7,1976.8,1272.5,116,1896.1,1222.1,860.7,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.49,5.99,0.59,0.75,0.29,133.19,1.75,0.33,377.16,300,300,0.68,17.46,1138.19,121,84,65,69,103,102,69,51,112,190,109,144,1219, ,556.4,978.3,635.4,1159.9
876,Gold6_A8_line1 Line 020,Gold6_McC_A8_line1,,49.2,1.3098,5.03,0.0038,6.05,0.1021,0.0028,13.76,22.72,0.5626,0.0015,0.0044,98.747,49.8243,1.3264,5.0938,0.0038,6.1268,0.1034,0.0028,13.9346,23.0083,0.5697,0.0015,0.0045,100,7.388,0.1479,0.89,0.0005,0.76,0.013,0.0003,3.08,3.656,0.1638,0.0003,0.0006,16.1004,47.4426,0.9499,2.8585,0.0014,4.879,0.0834,0.0022,19.7793,23.475,0.526,0.0009,0.0018,100,5.2776,26.5226,10.8065,45.8932,1.2646,4.2946,0.0035,6.0142,0.0932,0.0025,13.8528,22.627,0.4852,0.0015,0.0036,94.5358,88.341,3.1356,4.295,0.0077,39.515,0.1981,0.0025,51.709,47.436,3.2852,0.0062,0.01,237.9413,2601.2,108304,46451.7,462463.5,78.9,21128.5,472923.6,33.6,11.8,16.8,34717,542.4,349.3,612.9,1311.5,0,5919.4,3069.7,2053.7,1328.3,114.2,2070.5,1425.7,992.4,204.9,572.6,764.1,1269.5,4967.3,2780.9,1973.1,1204,110.8,1843.8,1212.4,874.9,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.55,5.91,0.59,0.75,0.29,299.77,1.74,0.33,344.26,304.39,744.14,0.68,17.57,1720.42,118,85,65,69,104,103,68,51,107,187,109,144,1210, ,552.5,980.7,639.8,1172.1
877,Gold6_A8_line1 Line 021,Gold6_McC_A8_line1,,49.24,1.3094,5.01,0.0012,6.08,0.1056,0.0189,13.84,22.68,0.5612,0.0015,0.0102,98.858,49.8088,1.3245,5.0679,0.0012,6.1502,0.1068,0.0191,13.9999,22.942,0.5677,0.0015,0.0103,100,7.386,0.1477,0.886,0.0001,0.763,0.0134,0.0023,3.095,3.645,0.1632,0.0003,0.0013,16.1033,47.4147,0.9482,2.8432,0.0005,4.8964,0.0861,0.0146,19.8664,23.4009,0.5239,0.0009,0.0042,100,5.2776,26.549,10.8065,45.9285,1.2644,4.2776,0.0011,6.0442,0.0964,0.0168,13.9332,22.5836,0.484,0.0014,0.0082,94.6393,88.409,3.135,4.278,0.0024,39.712,0.205,0.0168,52.009,47.345,3.2767,0.0061,0.023,238.418,2593.7,108930.9,46261.6,462820.6,25.2,21124.6,472012.1,31.9,25.2,109.3,34889.9,561.4,326.1,590,1260.7,0,5911.9,3002.2,2094.5,1383.4,94.1,2109.6,1432.2,981.7,265.6,596.7,774.9,1292.7,5029.4,2734.9,1951.6,1238.9,100.9,1839,1238.9,882.5,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.49,5.98,0.59,0.75,0.29,953.6,1.74,0.33,355.99,128.76,113.35,0.68,17.04,1579.1,124,86,65,69,104,102,68,52,100,188,110,144,1212, ,554.7,971.6,643.8,1141.4
878,Gold6_A8_line1 Line 022,Gold6_McC_A8_line1,,49.2,1.2967,4.98,0.0044,6.06,0.1086,0.0135,13.86,22.71,0.5629,0,0.0015,98.7976,49.7988,1.3125,5.0406,0.0045,6.1338,0.1099,0.0137,14.0287,22.9864,0.5698,0,0.0015,100,7.386,0.1464,0.882,0.0005,0.761,0.0138,0.0016,3.101,3.652,0.1638,0,0.0002,16.1083,47.3878,0.9393,2.8269,0.0017,4.8815,0.0886,0.0105,19.9,23.4376,0.5256,0,0.0006,100,5.2776,26.5755,10.8065,45.8937,1.252,4.2516,0.0041,6.0264,0.0991,0.012,13.9549,22.6127,0.4855,0,0.0012,94.593,88.342,3.1044,4.252,0.009,39.595,0.2107,0.012,52.09,47.406,3.2869,0,0.0033,238.3113,2602.1,109100.7,45987.6,462469.3,92.4,20917.8,472627.3,-6.7,3.4,79,34787.4,578.3,305.9,574.9,1327.9,0,5960.7,3049.3,2023.9,1376.7,97.5,2022.2,1423.8,985,250.5,586.7,758.1,1269.1,5096.7,2803.8,1941.5,1198.5,112.6,1944.9,1233.8,855.6,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.49,5.93,0.59,0.76,0.29,256.32,1.76,0.33,300,878.51,158.2,0.68,16.56,1619.93,120,85,65,69,105,103,68,51,104,189,109,143,1211, ,546.3,964.9,645.5,1156.5
879,Gold6_A8_line1 Line 023,Gold6_McC_A8_line1,,49.17,1.2955,4.96,0.0031,6.07,0.1023,0,13.86,22.68,0.5514,0.0023,0.0104,98.705,49.8151,1.3125,5.0251,0.0031,6.1496,0.1036,0,14.0418,22.9776,0.5586,0.0023,0.0105,100,7.388,0.1464,0.878,0.0004,0.763,0.013,0,3.103,3.652,0.1606,0.0004,0.0013,16.1061,47.3996,0.9392,2.8179,0.0012,4.8937,0.0835,0,19.9171,23.4267,0.5153,0.0014,0.0042,100,5.2776,26.6019,10.8065,45.8667,1.2508,4.2286,0.0029,6.0338,0.0934,0,13.9522,22.5869,0.4756,0.0022,0.0084,94.5014,88.29,3.1014,4.229,0.0063,39.644,0.1985,0,52.08,47.352,3.22,0.0091,0.0234,238.1537,2549.2,109078.5,45737.4,462194.4,63.9,20897.9,472088.4,48.8,26.9,-3.4,34829.3,544.8,319.5,600.3,1309.9,0,5945.9,3060.4,2127.1,1383.9,109.3,2073.3,1407.4,1024.1,275.8,585.2,761.7,1262.8,4987.4,2771.1,1866.5,1161.9,107.6,1848,1239.3,887.8,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.47,6.05,0.59,0.76,0.29,365.23,1.76,0.33,237.29,132.8,300,0.68,17.71,1063.49,125,85,65,69,104,103,68,51,105,188,109,146,1218, ,560,961.8,645.7,1167
880,Gold6_A8_line1 Line 024,Gold6_McC_A8_line1,,49.1,1.289,4.9,0.0056,6.09,0.1071,0.0133,13.88,22.7,0.5573,0.0028,0.0094,98.6545,49.7696,1.3066,4.9668,0.0057,6.1731,0.1086,0.0135,14.0693,23.0096,0.5649,0.0028,0.0095,100,7.384,0.1458,0.869,0.0007,0.766,0.0136,0.0016,3.112,3.658,0.1625,0.0005,0.0012,16.1149,47.3416,0.9347,2.7844,0.0021,4.9108,0.0875,0.0103,19.9499,23.4521,0.521,0.0017,0.0038,100,5.2776,26.6284,10.8065,45.7991,1.2446,4.1806,0.0051,6.0562,0.0978,0.0118,13.9723,22.6055,0.4805,0.0027,0.0076,94.4638,88.16,3.0861,4.181,0.0113,39.791,0.2078,0.0118,52.155,47.391,3.2531,0.0113,0.0212,238.2806,2575.2,109236.9,45216,461516.2,116,20795.1,472481.1,60.5,23.5,77.3,34958.8,569.8,344.6,623.6,1245.6,0,5890.1,3044.2,2052.4,1316.2,132.8,2030.6,1388.5,1006.9,252.1,553,761.5,1250.6,4960.5,2797.1,2003.7,1195.2,85.7,1763.3,1235.5,865.7,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.49,6,0.59,0.76,0.29,203.61,1.76,0.33,189.95,144.43,158.15,0.68,16.88,723.43,124,85,64,68,104,103,68,50,104,184,109,144,1207, ,536.2,973.3,657.3,1156.5
881,Gold6_A8_line1 Line 025,Gold6_McC_A8_line1,,49.02,1.2817,4.89,0.0099,6.06,0.0996,0.0018,13.83,22.68,0.5615,0,0.0006,98.4351,49.7993,1.3021,4.9677,0.0101,6.1563,0.1012,0.0018,14.0499,23.0406,0.5704,0,0.0006,100,7.387,0.1453,0.869,0.0012,0.764,0.0127,0.0002,3.107,3.663,0.1641,0,0.0001,16.1136,47.3685,0.9314,2.7848,0.0038,4.8974,0.0815,0.0014,19.9218,23.483,0.526,0,0.0002,100,5.2776,26.6548,10.8065,45.7176,1.2375,4.1756,0.0091,6.0256,0.0909,0.0016,13.9222,22.5879,0.4842,0,0.0005,94.2525,88.003,3.0683,4.176,0.02,39.59,0.1932,0.0016,51.968,47.354,3.2784,0,0.0013,237.6538,2596.1,108846.3,45167.1,460695.2,204.9,20675.1,472109.2,-3.4,1.7,10.1,34782.5,529,324.1,569.3,1316.5,0,5761.5,2980.7,2073.9,1398.8,119.2,2062.1,1363.6,1010.9,243.5,554.2,785.9,1321.6,4974,2794.3,1944.6,1269.5,87.3,1875.7,1190.6,893.4,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.55,5.95,0.59,0.76,0.29,114.52,1.77,0.33,300,2177.76,1163.59,0.68,18.11,3784.35,121,83,65,70,103,102,68,52,102,188,107,145,1206, ,557.5,962.2,641.5,1153.7
882,dr31 Line 001,dr31 Line 001,,38.83,0.0609,21.79,0.0453,27.52,2.07,0.0095,9.13,1.58,0.0049,0.0024,0.0483,101.0913,38.4108,0.0602,21.5548,0.0448,27.2229,2.0477,0.0094,9.0314,1.5629,0.0048,0.0024,0.0478,100,5.954,0.007,3.939,0.0055,3.529,0.269,0.0012,2.087,0.259,0.0015,0.0005,0.0063,16.059,42.2791,0.0499,13.9826,0.0195,25.0601,1.9091,0.0083,14.819,1.8434,0.0052,0.0017,0.0223,100,-15.2953,-16.707,11.594,33.474,0.0628,18.1162,0.0457,28.1887,1.9498,0.0086,8.4844,1.6018,0.0038,0.0023,0.0384,91.9763,64.435,0.1558,18.118,0.1006,185.208,4.145,0.0086,31.67,3.358,0.0255,0.0096,0.1069,307.341,20.2,66331.4,195944.5,337317.1,1031.1,1049.6,33478.6,50.5,121.1,55.5,162718.3,11362.5,301.1,598.8,1241.4,0,6575.3,3350.7,2001.7,1498.7,107.7,2287.6,1638.3,1142.1,265.8,479.4,842.7,1160.6,5520.6,3249.8,1702.3,1266.6,111,2040.4,1451.6,1017.7,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.45,329.73,0.76,0.36,0.34,24.97,18.72,1.3,233.62,34.29,230.24,0.31,1.99,876.63,122,81,66,66,110,109,66,53,105,197,118,155,1248, ,2625.7,2109.3,3044.6,2691.3
